1.5440 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
113.5831 	EXP 	fixation: autoDraw = False
113.5831 	EXP 	grating: autoDraw = True
113.8834 	EXP 	grating: autoDraw = False
114.4543 	EXP 	New trial (rep=60, index=0): None
114.4571 	DATA 	Keypress: down
114.4668 	EXP 	fixation: autoDraw = False
114.4668 	EXP 	grating: autoDraw = False
114.4668 	EXP 	grating: ori = 4.0
114.4668 	EXP 	fixation: autoDraw = True
115.4667 	EXP 	fixation: autoDraw = False
115.4667 	EXP 	grating: autoDraw = True
115.7665 	EXP 	grating: autoDraw = False
115.9714 	EXP 	New trial (rep=61, index=0): None
115.9743 	DATA 	Keypress: down
115.9832 	EXP 	fixation: autoDraw = False
115.9832 	EXP 	grating: autoDraw = False
115.9832 	EXP 	grating: ori = 4.0
115.9832 	EXP 	fixation: autoDraw = True
116.9832 	EXP 	fixation: autoDraw = False
116.9832 	EXP 	grating: autoDraw = True
117.2838 	EXP 	grating: autoDraw = False
117.4204 	EXP 	New trial (rep=62, index=0): None
117.4233 	DATA 	Keypress: down
117.4333 	EXP 	fixation: autoDraw = False
117.4333 	EXP 	grating: autoDraw = False
117.4333 	EXP 	grating: ori = 0.0
117.4333 	EXP 	fixation: autoDraw = True
118.4334 	EXP 	fixation: autoDraw = False
118.4334 	EXP 	grating: autoDraw = True
118.7333 	EXP 	grating: autoDraw = False
119.0708 	EXP 	New trial (rep=63, index=0): None
119.0736 	DATA 	Keypress: up
119.0833 	EXP 	fixation: autoDraw = False
119.0833 	EXP 	grating: autoDraw = False
119.0833 	EXP 	grating: ori = -4.0
119.0833 	EXP 	fixation: autoDraw = True
120.0834 	EXP 	fixation: autoDraw = False
120.0834 	EXP 	grating: autoDraw = True
120.3833 	EXP 	grating: autoDraw = False
120.6210 	EXP 	New trial (rep=64, index=0): None
120.6239 	DATA 	Keypress: down
120.6331 	EXP 	fixation: autoDraw = False
120.6331 	EXP 	grating: autoDraw = False
120.6331 	EXP 	grating: ori = 0.0
120.6331 	EXP 	fixation: autoDraw = True
121.6335 	EXP 	fixation: autoDraw = False
121.6335 	EXP 	grating: autoDraw = True
121.9332 	EXP 	grating: autoDraw = False
122.3205 	EXP 	New trial (rep=65, index=0): None
122.3234 	DATA 	Keypress: up
122.3337 	EXP 	fixation: autoDraw = False
122.3337 	EXP 	grating: autoDraw = False
122.3337 	EXP 	grating: ori = 1.0
122.3337 	EXP 	fixation: autoDraw = True
123.3334 	EXP 	fixation: autoDraw = False
123.3334 	EXP 	grating: autoDraw = True
123.6340 	EXP 	grating: autoDraw = False
123.8874 	EXP 	New trial (rep=66, index=0): None
123.8891 	DATA 	Keypress: down
123.9006 	EXP 	fixation: autoDraw = False
123.9006 	EXP 	grating: autoDraw = False
123.9006 	EXP 	grating: ori = -3.0
123.9006 	EXP 	fixation: autoDraw = True
124.9003 	EXP 	fixation: autoDraw = False
124.9003 	EXP 	grating: autoDraw = True
125.2002 	EXP 	grating: autoDraw = False
125.7029 	EXP 	New trial (rep=67, index=0): None
125.7043 	DATA 	Keypress: down
125.7167 	EXP 	fixation: autoDraw = False
125.7167 	EXP 	grating: autoDraw = False
125.7167 	EXP 	grating: ori = -5.0
125.7167 	EXP 	fixation: autoDraw = True
126.6988 	EXP 	grating: autoDraw = True
126.7149 	EXP 	fixation: autoDraw = False
126.9874 	EXP 	grating: autoDraw = False
127.1391 	EXP 	New trial (rep=68, index=0): None
127.1406 	DATA 	Keypress: down
127.1455 	EXP 	fixation: autoDraw = False
127.1455 	EXP 	grating: autoDraw = False
127.1455 	EXP 	grating: ori = 0.0
127.1455 	EXP 	fixation: autoDraw = True
128.1507 	EXP 	fixation: autoDraw = False
128.1507 	EXP 	grating: autoDraw = True
128.4499 	EXP 	grating: autoDraw = False
128.8862 	EXP 	New trial (rep=69, index=0): None
128.8879 	DATA 	Keypress: up
128.9002 	EXP 	fixation: autoDraw = False
128.9002 	EXP 	grating: autoDraw = False
128.9002 	EXP 	grating: ori = 4.0
128.9002 	EXP 	fixation: autoDraw = True
129.9002 	EXP 	fixation: autoDraw = False
129.9002 	EXP 	grating: autoDraw = True
130.2003 	EXP 	grating: autoDraw = False
130.4869 	EXP 	New trial (rep=70, index=0): None
130.4892 	DATA 	Keypress: down
130.5005 	EXP 	fixation: autoDraw = False
130.5005 	EXP 	grating: autoDraw = False
130.5005 	EXP 	grating: ori = 0.0
130.5005 	EXP 	fixation: autoDraw = True
131.5004 	EXP 	fixation: autoDraw = False
131.5004 	EXP 	grating: autoDraw = True
131.8005 	EXP 	grating: autoDraw = False
132.1539 	EXP 	New trial (rep=71, index=0): None
132.1560 	DATA 	Keypress: up
132.1674 	EXP 	fixation: autoDraw = False
132.1674 	EXP 	grating: autoDraw = False
132.1674 	EXP 	grating: ori = 0.0
132.1674 	EXP 	fixation: autoDraw = True
133.1679 	EXP 	fixation: autoDraw = False
133.1679 	EXP 	grating: autoDraw = True
133.4670 	EXP 	grating: autoDraw = False
133.8050 	EXP 	New trial (rep=72, index=0): None
133.8079 	DATA 	Keypress: up
133.8169 	EXP 	fixation: autoDraw = False
133.8169 	EXP 	grating: autoDraw = False
133.8169 	EXP 	grating: ori = -5.0
133.8169 	EXP 	fixation: autoDraw = True
134.8172 	EXP 	fixation: autoDraw = False
134.8172 	EXP 	grating: autoDraw = True
135.1177 	EXP 	grating: autoDraw = False
135.5871 	EXP 	New trial (rep=73, index=0): None
135.5890 	DATA 	Keypress: down
135.6007 	EXP 	fixation: autoDraw = False
135.6007 	EXP 	grating: autoDraw = False
135.6007 	EXP 	grating: ori = 0.0
135.6007 	EXP 	fixation: autoDraw = True
136.6003 	EXP 	fixation: autoDraw = False
136.6003 	EXP 	grating: autoDraw = True
136.9003 	EXP 	grating: autoDraw = False
137.2703 	EXP 	New trial (rep=74, index=0): None
137.2732 	DATA 	Keypress: up
137.2838 	EXP 	fixation: autoDraw = False
137.2838 	EXP 	grating: autoDraw = False
137.2838 	EXP 	grating: ori = 0.0
137.2838 	EXP 	fixation: autoDraw = True
138.2839 	EXP 	fixation: autoDraw = False
138.2839 	EXP 	grating: autoDraw = True
138.5838 	EXP 	grating: autoDraw = False
139.1211 	EXP 	New trial (rep=75, index=0): None
139.1240 	DATA 	Keypress: up
139.1338 	EXP 	fixation: autoDraw = False
139.1338 	EXP 	grating: autoDraw = False
139.1338 	EXP 	grating: ori = 0.0
139.1338 	EXP 	fixation: autoDraw = True
140.1336 	EXP 	fixation: autoDraw = False
140.1336 	EXP 	grating: autoDraw = True
140.4338 	EXP 	grating: autoDraw = False
140.7379 	EXP 	New trial (rep=76, index=0): None
140.7407 	DATA 	Keypress: up
140.7507 	EXP 	fixation: autoDraw = False
140.7507 	EXP 	grating: autoDraw = False
140.7507 	EXP 	grating: ori = 0.0
140.7507 	EXP 	fixation: autoDraw = True
141.7506 	EXP 	fixation: autoDraw = False
141.7506 	EXP 	grating: autoDraw = True
142.0507 	EXP 	grating: autoDraw = False
142.3378 	EXP 	New trial (rep=77, index=0): None
142.3406 	DATA 	Keypress: up
142.3503 	EXP 	fixation: autoDraw = False
142.3503 	EXP 	grating: autoDraw = False
142.3503 	EXP 	grating: ori = 0.0
142.3503 	EXP 	fixation: autoDraw = True
143.3511 	EXP 	fixation: autoDraw = False
143.3511 	EXP 	grating: autoDraw = True
143.6511 	EXP 	grating: autoDraw = False
144.0046 	EXP 	New trial (rep=78, index=0): None
144.0075 	DATA 	Keypress: up
144.0186 	EXP 	fixation: autoDraw = False
144.0186 	EXP 	grating: autoDraw = False
144.0186 	EXP 	grating: ori = -2.0
144.0186 	EXP 	fixation: autoDraw = True
145.0192 	EXP 	fixation: autoDraw = False
145.0192 	EXP 	grating: autoDraw = True
145.3187 	EXP 	grating: autoDraw = False
145.7708 	EXP 	New trial (rep=79, index=0): None
145.7730 	DATA 	Keypress: up
145.7836 	EXP 	fixation: autoDraw = False
145.7836 	EXP 	grating: autoDraw = False
145.7836 	EXP 	grating: ori = -5.0
145.7836 	EXP 	fixation: autoDraw = True
146.7839 	EXP 	fixation: autoDraw = False
146.7839 	EXP 	grating: autoDraw = True
147.0837 	EXP 	grating: autoDraw = False
147.3722 	EXP 	New trial (rep=80, index=0): None
147.3751 	DATA 	Keypress: down
147.3839 	EXP 	fixation: autoDraw = False
147.3839 	EXP 	grating: autoDraw = False
147.3839 	EXP 	grating: ori = -3.0
147.3839 	EXP 	fixation: autoDraw = True
148.3845 	EXP 	fixation: autoDraw = False
148.3845 	EXP 	grating: autoDraw = True
148.6839 	EXP 	grating: autoDraw = False
149.0222 	EXP 	New trial (rep=81, index=0): None
149.0251 	DATA 	Keypress: down
149.0338 	EXP 	fixation: autoDraw = False
149.0338 	EXP 	grating: autoDraw = False
149.0338 	EXP 	grating: ori = 0.0
149.0338 	EXP 	fixation: autoDraw = True
150.0352 	EXP 	fixation: autoDraw = False
150.0352 	EXP 	grating: autoDraw = True
150.3340 	EXP 	grating: autoDraw = False
150.6554 	EXP 	New trial (rep=82, index=0): None
150.6581 	DATA 	Keypress: up
150.6675 	EXP 	fixation: autoDraw = False
150.6675 	EXP 	grating: autoDraw = False
150.6675 	EXP 	grating: ori = 0.0
150.6675 	EXP 	fixation: autoDraw = True
151.6675 	EXP 	fixation: autoDraw = False
151.6675 	EXP 	grating: autoDraw = True
151.9679 	EXP 	grating: autoDraw = False
152.1719 	EXP 	New trial (rep=83, index=0): None
152.1747 	DATA 	Keypress: up
152.1842 	EXP 	fixation: autoDraw = False
152.1842 	EXP 	grating: autoDraw = False
152.1842 	EXP 	grating: ori = 2.0
152.1842 	EXP 	fixation: autoDraw = True
153.1840 	EXP 	fixation: autoDraw = False
153.1840 	EXP 	grating: autoDraw = True
153.4834 	EXP 	grating: autoDraw = False
154.0066 	EXP 	New trial (rep=84, index=0): None
154.0095 	DATA 	Keypress: down
154.0172 	EXP 	fixation: autoDraw = False
154.0172 	EXP 	grating: autoDraw = False
154.0172 	EXP 	grating: ori = 0.0
154.0172 	EXP 	fixation: autoDraw = True
155.0173 	EXP 	fixation: autoDraw = False
155.0173 	EXP 	grating: autoDraw = True
155.3180 	EXP 	grating: autoDraw = False
155.7374 	EXP 	New trial (rep=85, index=0): None
155.7389 	DATA 	Keypress: up
155.7514 	EXP 	fixation: autoDraw = False
155.7514 	EXP 	grating: autoDraw = False
155.7514 	EXP 	grating: ori = -3.0
155.7514 	EXP 	fixation: autoDraw = True
156.7516 	EXP 	fixation: autoDraw = False
156.7516 	EXP 	grating: autoDraw = True
157.0507 	EXP 	grating: autoDraw = False
157.3369 	EXP 	New trial (rep=86, index=0): None
157.3389 	DATA 	Keypress: up
157.3510 	EXP 	fixation: autoDraw = False
157.3510 	EXP 	grating: autoDraw = False
157.3510 	EXP 	grating: ori = 0.0
157.3510 	EXP 	fixation: autoDraw = True
158.3514 	EXP 	fixation: autoDraw = False
158.3514 	EXP 	grating: autoDraw = True
158.6506 	EXP 	grating: autoDraw = False
159.0386 	EXP 	New trial (rep=87, index=0): None
159.0419 	DATA 	Keypress: up
159.0512 	EXP 	fixation: autoDraw = False
159.0512 	EXP 	grating: autoDraw = False
159.0512 	EXP 	grating: ori = 2.0
159.0512 	EXP 	fixation: autoDraw = True
160.0509 	EXP 	fixation: autoDraw = False
160.0509 	EXP 	grating: autoDraw = True
160.3508 	EXP 	grating: autoDraw = False
160.6544 	EXP 	New trial (rep=88, index=0): None
160.6574 	DATA 	Keypress: down
160.6677 	EXP 	fixation: autoDraw = False
160.6677 	EXP 	grating: autoDraw = False
160.6677 	EXP 	grating: ori = 0.0
160.6677 	EXP 	fixation: autoDraw = True
161.6677 	EXP 	fixation: autoDraw = False
161.6677 	EXP 	grating: autoDraw = True
161.9675 	EXP 	grating: autoDraw = False
162.3865 	EXP 	New trial (rep=89, index=0): None
162.3897 	DATA 	Keypress: up
162.4021 	EXP 	fixation: autoDraw = False
162.4021 	EXP 	grating: autoDraw = False
162.4021 	EXP 	grating: ori = 3.0
162.4021 	EXP 	fixation: autoDraw = True
163.3844 	EXP 	grating: autoDraw = True
163.4009 	EXP 	fixation: autoDraw = False
163.6843 	EXP 	grating: autoDraw = False
163.9039 	EXP 	New trial (rep=90, index=0): None
163.9068 	DATA 	Keypress: down
163.9182 	EXP 	fixation: autoDraw = False
163.9182 	EXP 	grating: autoDraw = False
163.9182 	EXP 	grating: ori = -5.0
163.9182 	EXP 	fixation: autoDraw = True
164.9175 	EXP 	fixation: autoDraw = False
164.9175 	EXP 	grating: autoDraw = True
165.2180 	EXP 	grating: autoDraw = False
165.5715 	EXP 	New trial (rep=91, index=0): None
165.5743 	DATA 	Keypress: down
165.5847 	EXP 	fixation: autoDraw = False
165.5847 	EXP 	grating: autoDraw = False
165.5847 	EXP 	grating: ori = -3.0
165.5847 	EXP 	fixation: autoDraw = True
166.5851 	EXP 	fixation: autoDraw = False
166.5851 	EXP 	grating: autoDraw = True
166.8844 	EXP 	grating: autoDraw = False
167.3384 	EXP 	New trial (rep=92, index=0): None
167.3412 	DATA 	Keypress: down
167.3512 	EXP 	fixation: autoDraw = False
167.3512 	EXP 	grating: autoDraw = False
167.3512 	EXP 	grating: ori = 0.0
167.3512 	EXP 	fixation: autoDraw = True
168.3512 	EXP 	fixation: autoDraw = False
168.3512 	EXP 	grating: autoDraw = True
168.6510 	EXP 	grating: autoDraw = False
168.9390 	EXP 	New trial (rep=93, index=0): None
168.9418 	DATA 	Keypress: up
168.9515 	EXP 	fixation: autoDraw = False
168.9515 	EXP 	grating: autoDraw = False
168.9515 	EXP 	grating: ori = 0.0
168.9515 	EXP 	fixation: autoDraw = True
169.9515 	EXP 	fixation: autoDraw = False
169.9515 	EXP 	grating: autoDraw = True
170.2513 	EXP 	grating: autoDraw = False
170.5049 	EXP 	New trial (rep=94, index=0): None
170.5079 	DATA 	Keypress: up
170.5178 	EXP 	fixation: autoDraw = False
170.5178 	EXP 	grating: autoDraw = False
170.5178 	EXP 	grating: ori = -4.0
170.5178 	EXP 	fixation: autoDraw = True
171.5186 	EXP 	fixation: autoDraw = False
171.5186 	EXP 	grating: autoDraw = True
171.8178 	EXP 	grating: autoDraw = False
172.0559 	EXP 	New trial (rep=95, index=0): None
172.0587 	DATA 	Keypress: down
172.0671 	EXP 	fixation: autoDraw = False
172.0671 	EXP 	grating: autoDraw = False
172.0671 	EXP 	grating: ori = 0.0
172.0671 	EXP 	fixation: autoDraw = True
173.0678 	EXP 	fixation: autoDraw = False
173.0678 	EXP 	grating: autoDraw = True
173.3679 	EXP 	grating: autoDraw = False
173.6557 	EXP 	New trial (rep=96, index=0): None
173.6585 	DATA 	Keypress: up
173.6682 	EXP 	fixation: autoDraw = False
173.6682 	EXP 	grating: autoDraw = False
173.6682 	EXP 	grating: ori = 3.0
173.6682 	EXP 	fixation: autoDraw = True
174.6686 	EXP 	fixation: autoDraw = False
174.6686 	EXP 	grating: autoDraw = True
174.9679 	EXP 	grating: autoDraw = False
175.3494 	EXP 	New trial (rep=97, index=0): None
175.3519 	DATA 	Keypress: down
175.3563 	EXP 	fixation: autoDraw = False
175.3563 	EXP 	grating: autoDraw = False
175.3563 	EXP 	grating: ori = 0.0
175.3563 	EXP 	fixation: autoDraw = True
176.3515 	EXP 	grating: autoDraw = True
176.3683 	EXP 	fixation: autoDraw = False
176.6512 	EXP 	grating: autoDraw = False
177.2230 	EXP 	New trial (rep=98, index=0): None
177.2258 	DATA 	Keypress: up
177.2348 	EXP 	fixation: autoDraw = False
177.2348 	EXP 	grating: autoDraw = False
177.2348 	EXP 	grating: ori = 0.0
177.2348 	EXP 	fixation: autoDraw = True
178.2346 	EXP 	fixation: autoDraw = False
178.2346 	EXP 	grating: autoDraw = True
178.5347 	EXP 	grating: autoDraw = False
178.8895 	EXP 	New trial (rep=99, index=0): None
178.8924 	DATA 	Keypress: up
178.9019 	EXP 	fixation: autoDraw = False
178.9019 	EXP 	grating: autoDraw = False
178.9019 	EXP 	grating: ori = 2.0
178.9019 	EXP 	fixation: autoDraw = True
179.9015 	EXP 	fixation: autoDraw = False
179.9015 	EXP 	grating: autoDraw = True
180.2013 	EXP 	grating: autoDraw = False
180.5058 	DATA 	Keypress: down
180.5190 	EXP 	fixation: autoDraw = False
180.5190 	EXP 	grating: autoDraw = False
180.6699 	EXP 	window1: mouseVisible = True
