trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,30.448245082981884,31.448123042006046,31.448123042006046,down,0,1.1504453737288713,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
11,0,11,0,32.615048417355865,33.61480666697025,33.61480666697025,down,1,0.564779540989548,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
12,0,12,0,34.19908762536943,35.19840445835143,35.19840445835143,down,1,0.5590636655688286,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
13,0,13,0,35.781207625288516,36.781434250064194,36.781434250064194,down,1,0.6184224984608591,3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
14,0,14,0,37.43165762536228,38.43123737536371,38.43123737536371,down,0,1.702289248816669,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
15,0,15,0,40.14661104232073,41.14844566723332,41.14844566723332,down,1,0.6484386236406863,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
16,0,16,0,41.81510000023991,42.81551625020802,42.81551625020802,up,1,0.7884892066940665,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
17,0,17,0,43.624220833182335,44.61335908295587,44.61955308308825,up,1,0.6335426233708858,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
18,0,18,0,45.26572829205543,46.265265667345375,46.265265667345375,up,1,0.6221807077527046,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
19,0,19,0,46.915141250006855,47.91508479230106,47.91508479230106,down,1,0.5694684567861259,2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
20,0,20,0,48.5149586671032,49.515401458367705,49.515401458367705,down,1,0.6648970819078386,-2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
21,0,21,0,50.1988320001401,51.198705333285034,51.198705333285034,down,1,0.5984272896312177,3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
22,0,22,0,51.81509095802903,52.81462641712278,52.81462641712278,up,1,0.77090516500175,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
23,0,23,0,53.61539787519723,54.61527733318508,54.61527733318508,down,1,0.6052957908250391,-4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
24,0,24,0,55.24845241708681,56.24888575030491,56.24888575030491,up,1,0.7338993735611439,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
25,0,25,0,57.0153734581545,58.01582179218531,58.01582179218531,down,1,0.618480998557061,2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
26,0,26,0,58.665569708216935,59.665348125156015,59.665348125156015,up,1,0.6558326655067503,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
27,0,27,0,60.34866529237479,61.34888004232198,61.34888004232198,down,1,0.4888297487050295,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
28,0,28,0,61.86553466739133,62.86617379216477,62.86617379216477,down,1,0.45027183182537556,-3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
29,0,29,0,63.34890183294192,64.34934350010008,64.34934350010008,up,1,0.6440432486124337,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
30,0,30,0,65.01549808308482,66.01581833325326,66.01581833325326,up,0,0.6293944576755166,-2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
31,0,31,0,66.66562320804223,67.66563920816407,67.66563920816407,up,1,0.5685467063449323,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
32,0,32,0,68.26570966700092,69.26539308298379,69.26539308298379,down,1,0.7246117074973881,3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
33,0,33,0,70.01568550011143,71.01558341737837,71.01558341737837,up,1,0.6485672909766436,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
34,0,34,0,71.68207408301532,72.68243870837614,72.68243870837614,up,1,1.0558378738351166,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
35,0,35,0,73.7655900833197,74.74737583333626,74.76404887530953,up,1,0.5458574160002172,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
36,0,36,0,75.3069032500498,76.29914825037122,76.31590020796284,up,1,0.5214494154788554,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
37,0,37,0,76.84927304228768,77.84930600039661,77.84930600039661,up,1,0.5344659574329853,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
38,0,38,0,78.41561520798132,79.4162784172222,79.4162784172222,up,1,0.6073015825822949,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
39,0,39,0,80.04931137524545,81.04980708332732,81.04980708332732,up,1,0.4987488738261163,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
40,0,40,0,81.56606354238465,82.56656204210594,82.56656204210594,up,1,0.5210439986549318,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
41,0,41,0,83.11606733314693,84.12383395805955,84.12383395805955,up,1,0.46354145742952824,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
42,0,42,0,84.6158532500267,85.61644241726026,85.61644241726026,up,0,0.6670514144934714,1,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
43,0,43,0,86.31575787533075,87.31675583310425,87.31675583310425,up,1,0.5815654154866934,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
44,0,44,0,87.91623216727749,88.91590750031173,88.91590750031173,up,1,0.5111980815418065,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
45,0,45,0,89.44952016696334,90.44940125010908,90.44940125010908,up,1,0.4836293733678758,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
46,0,46,0,90.94969166722149,91.95008925022557,91.95008925022557,up,0,0.6936845816671848,-2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
47,0,47,0,92.6663708332926,93.66626075003296,93.66626075003296,down,1,0.6862442907877266,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
48,0,48,0,94.38269216706976,95.38293662527576,95.38293662527576,up,1,0.6109739565290511,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
49,0,49,0,96.0164619171992,97.01619983324781,97.01619983324781,up,0,0.5312167485244572,-3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
50,0,50,0,97.56630712514743,98.56625091703609,98.56625091703609,up,1,0.6648274576291442,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
51,0,51,0,99.2506575002335,100.25038904231042,100.25038904231042,down,1,0.6642038328573108,-4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
52,0,52,0,100.93310791719705,101.93293533334509,101.93293533334509,up,1,0.7644117898307741,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
53,0,53,0,102.71651616739109,103.69966766703874,103.71664516720921,up,1,0.5885173315182328,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
54,0,54,0,104.31657708296552,105.3169327499345,105.3169327499345,down,1,0.7812749156728387,1,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
55,0,55,0,106.11658212495968,107.11640970828012,107.11640970828012,up,1,0.5392235396429896,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
56,0,56,0,107.68282595835626,108.68304700031877,108.68304700031877,down,1,0.4331661658361554,-4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
57,0,57,0,109.13418183336034,110.13303850032389,110.13303850032389,down,1,0.6212081233970821,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
58,0,58,0,110.7828837921843,111.78325854195282,111.78325854195282,up,1,0.7815897073596716,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
59,0,59,0,112.58394491719082,113.58313154196367,113.58313154196367,down,1,0.8654134157113731,2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
60,0,60,0,114.46676274994388,115.46666570799425,115.46666570799425,down,1,0.4844314157962799,4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
61,0,61,0,115.98318625008687,116.98320608306676,116.98320608306676,down,1,0.4173793736845255,4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
62,0,62,0,117.43327712500468,118.43340400001034,118.43340400001034,up,1,0.6218817899934947,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
63,0,63,0,119.08332666708156,120.08344850037247,120.08344850037247,down,1,0.5220915814861655,-4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
64,0,64,0,120.633145917207,121.6335142920725,121.6335142920725,up,1,0.682236248627305,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
65,0,65,0,122.33368508331478,123.333441125229,123.333441125229,down,1,0.5481107486411929,1,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
66,0,66,0,123.90055983327329,124.90030779223889,124.90030779223889,down,1,0.788917541038245,-3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
